NOME,RUA,NUMERO,BAIRRO,CIDADE,CEP,LATITUDE,LONGITUDE,CNPJ,PRECO MEDIO,VALOR MINIMO,CATEGORIA,AVALIACAO,TEMPO ENTREGA,VALOR ORIGINAL,SUPER RESTAURANTE
Italak's Lanches,Rua Jasmim,68,Jardim Odete,ITAQUAQUECETUBA,08598270,-23.466465,-46.329171,60758332000161,$,20,Hambúrguer,0.0,49,8.99,NÃO
Hortifruti Ferraz,Rua Félix Mazzuuca,79,Vila Romanópolis,FERRAZ DE VASCONCELOS,08500025,-23.541756,-46.369331,39158319000185,$,10,Brasileira,4.8,0,,NÃO
Japa San,Avenida Amazonas,155,Barbosas,ARUJA,07402090,-23.395617,-46.318456,48984526000180,$,20,Japonesa,4.6,0,,NÃO
Mylla Doces & Bolos,Rua Fenix,169,Jardim Luciana,ITAQUAQUECETUBA,08575710,-23.500729,-46.353479,,$,17,Doces & Bolos,0.0,47,7.99,NÃO
R&m Açai,Rua Mogi Mirim,9,Cuiabá,ITAQUAQUECETUBA,08591651,-23.445229,-46.299747,64234097000180,$,20,Congelados,5.0,0,,NÃO
Delícias da Neide!,Rua Mirandópolis,807,Parque Recanto Mônica,ITAQUAQUECETUBA,08592000,-23.468954,-46.291914,,$,20,Salgados,0.0,0,,NÃO
Container Pasta & Burguer,Avenida João Manoel,1080,Centro,ARUJA,07400650,-23.396259,-46.333367,20460263000190,$,10,Hambúrguer,4.7,0,,NÃO
Baby Pinheirinho Sorvetes e Açaí,Estrada Pinheirinho Suzano,2101,Parque Recanto Mônica,ITAQUAQUECETUBA,08593000,-23.488415,-46.295089,26767300000275,$,20,Sorvetes,0.0,0,,NÃO
Rei da Coxinha,Avenida João Manoel,420,Centro,ARUJA,07400610,-23.394485,-46.326535,63537899000104,$,8,Brasileira,5.0,0,,NÃO
"Star, Bar & Petiscaria, Restaurante",Estrada do Pinheirinho Velho,2157,Parque Residencial Marengo,ITAQUAQUECETUBA,08594000,-23.480814,-46.297997,52860717000107,$,15,Marmita,0.0,0,,NÃO
Alakoro lanches ,Rua Casa Branca,18,Jardim Piatã B,MOGI DAS CRUZES,08774450,-23.463579,-46.274283,15418162000111,$,15,Cozinha Rápida,0.0,0,,NÃO
Ardendrag Lanches & Cia -,Estrada Presidente Juscelino Kubitschek de Oliveira,3000,Parque São Miguel,GUARULHOS,07260000,-23.452567,-46.406602,45630785000114,$,10,Lanches,0.0,0,,NÃO
Tá Prontinha,Rua Santo Antonio,966,Cidade Nova Arujá,ARUJA,07411405,-23.404606,-46.346354,63876711000144,$,10,Congelados,0.0,0,,NÃO
Criarts Doces e Salgados ,Estrada do Caminho Velho,695,Jardim Nova Cidade,GUARULHOS,07252312,-23.440713,-46.400422,37927715000102,$,10,Doces & Bolos,4.8,0,,NÃO
Sabor em Camadas,Rua da Fama,16,Jardim do Algarve,ITAQUAQUECETUBA,08572682,-23.501603,-46.347615,54061683000116,$,10,Doces & Bolos,0.0,46,7.99,NÃO
Juna Sushi,Rua Vitória Regia,36,Jardim Odete,ITAQUAQUECETUBA,08598210,-23.464295,-46.328253,34609381000122,$,25,Japonesa,0.0,49,8.99,NÃO
